lens_id,ra,dec,redshift,total_mass_Msun,mass_surface_density_Msun_per_Mpc2,density_class,surface_density_Msun_per_kpc2,environment_class,surface_density_kpc2
J2100-4452,315.061905,-44.868508,0.203,0.0,0.0,zero_galaxies,,zero_galaxies,0.0
B2108+213,317.7253,21.5164,0.365,3459100000000000.0,27898972043886.41,high,,high_density,27898972.04388641
B2114+022*,319.2115,2.42975,0.316,5796550000000000.0,56475629351829.05,high,,high_density,56475629.351829045
HE0047-1756,12.6158,-17.6693,0.407,0.0,0.0,zero_galaxies,,,
DESJ0112-1650,18.141188,-16.840955,0.54,0.0,0.0,zero_galaxies,,,
SDSSJ0114+0722,18.6598,7.3747,0.408,999400000000000.0,7025121748370.588,high,,,
PMNJ0134-0931,23.64858,-9.51747,0.765,994500000000000.0,3800518190391.955,medium,,,
J0140-1152,25.01251,-11.87206,0.28,0.0,0.0,zero_galaxies,,,
Q0142-100,26.3194,-9.75475,0.491,1117750000000000.0,6365076047357.132,high,,,
PSJ0147+4630,26.79231,46.5118,0.678,0.0,0.0,zero_galaxies,,,
QJ0158-4325,29.6724,-43.4178,0.317,0.0,0.0,zero_galaxies,,,
B0218+357,35.27285,35.93716,0.685,0.0,0.0,zero_galaxies,,,
HE0230-2130,38.13829,-21.29046,0.523,0.0,0.0,zero_galaxies,,,
SDSSJ0246-0825,41.64204,-8.42669,0.723,2697400000000000.0,10747219046897.371,high,,,
DESJ0247-6349,41.9779,-63.8233,0.43,0.0,0.0,zero_galaxies,,,
SDSSJ0256+0153,44.1697,1.8915,0.603,708800000000000.0,3289530981514.842,medium,,,
DESJ0407-1931,61.97413,-19.5228,0.29,0.0,0.0,zero_galaxies,,,
DESJ0408-5354,62.0905,-53.8999,0.597,0.0,0.0,zero_galaxies,,,
MG0414+0534,63.65719,5.57862,0.96,883000000000000.0,2938243656711.888,medium,,,
HE0435-1223,69.5619,-12.28745,0.454,0.0,0.0,zero_galaxies,,,
B0445+123,72.09163,12.46539,0.558,1628800000000000.0,8135089037541.008,high,,,
HE0512-3329,78.54541,-33.43958,0.93,0.0,0.0,zero_galaxies,,,
B0631+519,98.80131,51.9505,0.62,0.0,0.0,zero_galaxies,,,
B0712+472,109.0151,47.14735,0.406,0.0,0.0,zero_galaxies,,,
ULASJ0743+2457,115.96921,24.96211,0.381,2895350000000000.0,22127256770113.176,high,,,
SDSSJ0746+4403,116.721,44.06425,0.513,2742750000000000.0,14911764437219.275,high,,,
SDSSJ0806+2006,121.59867,20.10874,0.573,4547750000000000.0,22138814196232.367,high,,,
SDSSJ0818+0601,124.6268,6.0271,1.01,2804500000000000.0,9108108019093.428,high,,,
SDSSJ0819+5356,124.99909,53.94018,0.294,918250000000000.0,9876762631464.36,high,,,
ULASJ0820+0812,125.06706,8.20466,0.803,6153800000000000.0,22741316950841.99,high,,,
HS0818+1227,125.4121,12.29191,0.39,3334650000000000.0,24759970539773.83,high,,,
SDSSJ0821+4542,125.4943,45.71233,0.349,5587750000000000.0,47733482168596.12,high,,,
SDSSJ0832+0404,128.0711,4.06789,0.659,2865800000000000.0,12300826512083.85,high,,,
PSJ0840+3550,130.1379,35.83334,0.26,3497450000000000.0,44796122416685.66,high,,,
B0850+054,133.22323,5.25435,0.5883,2011850000000000.0,9552733320051.916,high,,,
SDSSJ0903+5028,135.89609,50.47213,0.388,1813850000000000.0,13553363306521.863,high,,,
SDSSJ0909+4449,137.43957,44.83183,0.9,1040850000000000.0,3584906664167.829,medium,,,
RXJ0911+0551,137.86471,5.84834,0.769,1788400000000000.0,6809132106559.233,high,,,
SBS0909+532,138.25425,52.99133,0.83,1802800000000000.0,6519499220701.791,high,,,
SDSSJ0921+2854,140.3142,28.9124,0.445,843700000000000.0,5357512110074.743,high,,,
SDSSJ0924+0219,141.23246,2.32358,0.393,2032500000000000.0,14950349000380.684,high,,,
J0941+0518,145.3439,5.3066,0.343,1700350000000000.0,14856572078376.045,high,,,
SDSSJ0946+1835,146.52017,18.59453,0.388,913500000000000.0,6825811054115.679,high,,,
PSJ0949+4208,147.4784,42.1336,0.508,1081150000000000.0,5938418019911.31,high,,,
FBQ0951+2635,147.84404,26.58719,0.26,734100000000000.0,9402517109919.78,high,,,
BRI0952-0115,148.75038,-1.50187,0.632,1653600000000000.0,7357793134838.802,high,,,
COSMOS5921+0638,149.84071,2.11063,0.551,948600000000000.0,4796903274713.108,medium,,,
Q0957+561,150.33665,55.89791,0.3562,2105600000000000.0,17519704345382.889,high,,,
SDSSJ1001+5027,150.36876,50.46595,0.415,964050000000000.0,6640395495474.179,high,,,
J1004+1229,151.10379,12.48966,0.95,1545400000000000.0,5169858172793.638,high,,,
SDSSJ1004+4112,151.14294,41.2118,0.68,1074750000000000.0,4494634937813.849,medium,,,
LBQS1009-0252,153.06622,-3.11767,0.871,1360550000000000.0,4775855687088.231,medium,,,
SDSSJ1021+4913,155.29588,49.22508,0.451,1101000000000000.0,6885699995166.95,high,,,
SDSSJ1029+2623,157.30765,26.39171,0.584,668750000000000.0,3197317121957.8413,medium,,,
B1030+074,158.39177,7.1905,0.599,689650000000000.0,3220281222623.542,medium,,,
SDSSJ1055+4628,163.93938,46.4777,0.388,741500000000000.0,5540600872059.962,high,,,
HE1104-1805,166.63938,-18.35672,0.729,1652200000000000.0,6541633560348.416,high,,,
PG1115+080,169.57035,7.76627,0.311,637250000000000.0,6344432198272.247,high,,,
RXJ1131-1231,172.9644,-12.5329,0.295,0.0,0.0,zero_galaxies,,,
SDSSJ1138+0314,174.51554,3.24939,0.445,852750000000000.0,5414979793607.014,high,,,
SDSSJ1155+6346,178.82195,63.77265,0.176,2308150000000000.0,53809591715246.5,high,,,
B1152+199,178.82639,19.66146,0.438,946300000000000.0,6119316857196.679,high,,,
SDSSJ1206+4332,181.62361,43.53856,0.748,713250000000000.0,2770396061971.6167,medium,,,
SDSSJ1226-0006,186.53342,-0.10061,0.517,1593200000000000.0,8592360209881.67,high,,,
SDSSJ1251+2935,192.78154,29.59458,0.41,654350000000000.0,4572786006707.223,medium,,,
SDSSJ1254+1857,193.6681,18.95333,0.555,1194800000000000.0,5999043882951.723,high,,,
2M1310-1714,197.5835,-17.24939,0.293,0.0,0.0,zero_galaxies,,,
SDSSJ1313+5151,198.41675,51.85801,0.194,1464400000000000.0,29232953413654.39,high,,,
SDSSJ1320+1644*,200.24778,16.73437,0.899,1314700000000000.0,4530948508238.694,medium,,,
J1326+4806,201.50006,48.11208,0.396,766100000000000.0,5583082954286.476,high,,,
SDSSJ1330+1810,202.57772,18.17581,0.373,1233200000000000.0,9677716257615.586,high,,,
SDSSJ1332+0347,203.09425,3.79442,0.191,1618600000000000.0,33115806473524.293,high,,,
SDSSJ1335+0118,203.89496,1.30153,0.44,2687500000000000.0,17288023064370.832,high,,,
SDSSJ1339+1310,204.77999,13.1775,0.607,1326550000000000.0,6119444380163.885,high,,,
Q1355-2257,208.9308,-22.9565,0.701,0.0,0.0,zero_galaxies,,,
SDSSJ1406+6126,211.60303,61.44446,0.27,1998550000000000.0,24242181918584.44,high,,,
HST14113+5211,212.8317,52.19158,0.465,710550000000000.0,4293972075139.2354,medium,,,
B1422+231,216.15871,22.9335,0.339,1684450000000000.0,14945356440996.367,high,,,
SDSSJ1433+6007,218.345,60.121,0.407,1241600000000000.0,8753370145907.039,high,,,
SDSSJ1442+4055,220.7279,40.92656,0.284,908550000000000.0,10257104950154.33,high,,,
SDSSJ1452+4224,223.04792,42.40822,0.382,1538600000000000.0,11720294242590.377,high,,,
SDSSJ1515+1511,228.9106,15.19309,0.742,1772900000000000.0,6927276285243.691,high,,,
SDSSJ1524+4409,231.19008,44.16375,0.32,872000000000000.0,8353023320661.328,high,,,
SDSSJ1537+3014,234.39335,30.2485,0.49,1481650000000000.0,8455805359750.712,high,,,
B1600+434,240.41854,43.27994,0.414,2366150000000000.0,16344910746189.523,high,,,
PSJ1602+4526,240.7056,45.43528,0.426,1830950000000000.0,12228336359274.55,high,,,
B1608+656,242.3081,65.5411,0.63,0.0,0.0,zero_galaxies,,,
SDSSJ1620+1203,245.10931,12.0613,0.398,3440600000000000.0,24920709265706.33,high,,,
SDSSJ1640+1932,250.19029,19.54921,0.195,3645050000000000.0,72177351897229.42,high,,,
PSJ1721+8842,260.43437,88.70599,0.184,0.0,0.0,zero_galaxies,,,
PKS1830-211,278.41625,-21.061111,0.886,0.0,0.0,zero_galaxies,,,
B1933+503,293.62875,50.42312,0.755,0.0,0.0,zero_galaxies,,,
B1938+666,294.60538,66.81471,0.881,0.0,0.0,zero_galaxies,,,
MG2016+112,304.82529,11.45366,1.004,0.0,0.0,zero_galaxies,,,
WGD2021-4115,305.414,-41.266,0.335,0.0,0.0,zero_galaxies,,,
WFI2033-4723,308.4257,-47.3956,0.661,0.0,0.0,zero_galaxies,,,
WGD2038-4008,309.5113,-40.1371,0.23,0.0,0.0,zero_galaxies,,,
B2045+265,311.83479,26.73367,0.87,7643150000000000.0,26847647509797.547,high,,,
J2100-4452,315.061905,-44.868508,0.203,0.0,0.0,zero_galaxies,,,
B2108+213,317.7253,21.5164,0.365,3025200000000000.0,24399401644117.016,high,,,
B2114+022*,319.2115,2.42975,0.316,5787600000000000.0,56388429744700.86,high,,,
SDSSJ2146-0047,326.6918,-0.7957,0.799,1.746025e+16,64741170872118.13,high,,,
HE2149-2745,328.0311,-27.5304,0.603,0.0,0.0,zero_galaxies,,,
CY2201-3201,330.38667,-32.02889,0.32,0.0,0.0,zero_galaxies,,,
SDSSJ2222+2745,335.5354,27.7594,0.49,3918800000000000.0,22364667798596.89,high,,,
Q2237+030,340.1258,3.35855,0.039,1740500000000000.0,602750497387975.5,high,,,
B2319+052,350.41995,5.46011,0.624,657950000000000.0,2960696938220.8022,medium,,,
VDESJ2325-5229,351.4217,-52.4875,0.4,0.0,0.0,zero_galaxies,,,
A2163,243.9541667,-6.152222222,0.203,0.0,0.0,zero_galaxies,,,
PLCK G287.0+32.9,177.7041667,-28.08527778,0.39,0.0,0.0,zero_galaxies,,,
MACSJ0417.5-1154,64.40416667,-11.89583333,0.443,0.0,0.0,zero_galaxies,,,
A697,130.7458333,36.3525,0.282,2593050000000000.0,29567363941451.78,high,,,
RXS J060313.4+4212,90.8375,42.23222222,0.228,0.0,0.0,zero_galaxies,,,
MACSJ0308.9+2645,47.24583333,26.75833333,0.356,618100000000000.0,5146627432533.639,high,,,
ACT-CLJ0102-49151,15.73333333,-49.27166667,0.87,0.0,0.0,zero_galaxies,,,
RXC J0600.1-2007,90.0625,-20.12416667,0.46,0.0,0.0,zero_galaxies,,,
PSZ2 G209.79+10.23,110.5958333,7.408333333,0.677,0.0,0.0,zero_galaxies,,,
PLCK G171.9-40.7,48.2375,8.371944444,0.27,0.0,0.0,zero_galaxies,,,
RXC J2211.7-0350,332.9291667,-3.829166667,0.397,1437000000000000.0,10440267646718.174,high,,,
PLCK G004.5-19.5,289.2708333,-33.52222222,0.54,0.0,0.0,zero_galaxies,,,
PLCK G308.3-20.2,229.6083333,-81.50277778,0.48,0.0,0.0,zero_galaxies,,,
RXC J0018.5+1626,4.641666667,16.43333333,0.5456,1206200000000000.0,6159336051040.018,high,,,
SPT-CLJ0254-5857,43.56666667,-58.95305556,0.438,0.0,0.0,zero_galaxies,,,
PSZ2 G138.61-10.84,36.77916667,49.00833333,0.702,1981250000000000.0,8076567091482.994,high,,,
RXC J0142.9+4438,25.72083333,44.63888889,0.341,0.0,0.0,zero_galaxies,,,
A1300,172.9833333,-19.91416667,0.3075,0.0,0.0,zero_galaxies,,,
WHL J013719.8-082841,24.35416667,-8.456944444,0.566,1320200000000000.0,6503217923772.682,high,,,
RXC J1514.9-1523,228.75,-15.35638889,0.2226,0.0,0.0,zero_galaxies,,,
A665,127.7125,65.86222222,0.1818,1128600000000000.0,24976582047329.92,high,,,
MACSJ0553.4-3342,88.34583333,-33.70194444,0.43,0.0,0.0,zero_galaxies,,,
SMACSJ0723.3-7327,110.8375,-73.43916667,0.39,0.0,0.0,zero_galaxies,,,
RXC J0949.8+1707,147.4583333,17.12138889,0.3826,1226850000000000.0,9327358797986.064,high,,,
A1758a,203.175,50.51805556,0.2799,1567150000000000.0,18059234640891.2,high,,,
A1763,203.8,41.00027778,0.2279,1138600000000000.0,17726488063519.176,high,,,
A2813,10.8625,-20.61694444,0.2924,195200000000000.0,2115586633085.279,medium,,,
A520,73.525,2.962222222,0.203,0.0,0.0,zero_galaxies,,,
RXC J0032.1+1808,8.033333333,18.15361111,0.3956,683700000000000.0,4988720067529.103,medium,,,
RXCJ0232.2-4420,38.075,-44.36111111,0.2836,0.0,0.0,zero_galaxies,,,
A3192,59.70416667,-29.93444444,0.425,0.0,0.0,zero_galaxies,,,
MACSJ0159.8-0849,29.975,-8.858888889,0.405,1197000000000000.0,8489076466132.058,high,,,
MACSJ0035.4-2015,8.85,-20.27083333,0.352,810650000000000.0,6848784239118.908,high,,,
RXC J0911.1+1746,137.8041667,17.8025,0.5049,856100000000000.0,4732612422646.214,medium,,,
AS295,41.36666667,-53.04222222,0.3,0.0,0.0,zero_galaxies,,,
SPT-CLJ0615-5746,93.98333333,-57.76388889,0.972,0.0,0.0,zero_galaxies,,,
MACSJ0257.1-2325,44.30833333,-23.39666667,0.5049,0.0,0.0,zero_galaxies,,,
A2537,347.0875,-2.195555556,0.2966,733200000000000.0,7790587694825.555,high,,,
MS1008.1-1224,152.6,-12.64388889,0.3062,0.0,0.0,zero_galaxies,,,
MACSJ0025.4-1222,6.370833333,-12.38166667,0.586,89350000000000.0,425814851876.3966,low,,,
CLJ0152.7-1357,28.16666667,-13.95527778,0.833,19350000000000.0,69814856215.9876,low,,,
Abell 2744,3.586258333,30.400175,0.308,1279650000000000.0,12909543400682.312,high,,,
Abell 370,39.97134167,-1.582261111,0.375,746100000000000.0,5815993272804.486,high,,,
MACS J0257.6-2209,44.421125,-22.15491667,0.322,0.0,0.0,zero_galaxies,,,
MACS J0329.6-0211,52.4232,-2.196225,0.45,0.0,0.0,zero_galaxies,,,
MACS J0416.1+2403,64.0381,-24.06748611,0.397,0.0,0.0,zero_galaxies,,,
1E 0657+56 (Bullet),104.6588583,-55.95718611,0.296,0.0,0.0,zero_galaxies,,,
MACS J0940.9+0744,145.2237417,7.740363889,0.335,851350000000000.0,7672521750715.777,high,,,
MACS J1206.2+0847,181.5506208,-8.800936111,0.438,0.0,0.0,zero_galaxies,,,
RX J1347.5-1145,206.8775708,-11.75264167,0.451,0.0,0.0,zero_galaxies,,,
SMACS J2031.8-4036,307.9719,-40.62521944,0.331,0.0,0.0,zero_galaxies,,,
SMACS J2131.1-4019,322.7701292,-40.32247778,0.442,0.0,0.0,zero_galaxies,,,
MACS J2214.9-1359,333.7387167,-14.00358611,0.502,0.0,0.0,zero_galaxies,,,
Abell 209,22.96904167,-13.61077778,0.206,0.0,0.0,zero_galaxies,,,
Abell 383,42.014,-3.529083333,0.187,1252000000000000.0,26489332920744.09,high,,,
MACS0329.7-0211,52.42366667,-2.196583333,0.45,0.0,0.0,zero_galaxies,,,
MACS0429.6-0253,67.40041667,-2.885555556,0.399,0.0,0.0,zero_galaxies,,,
MACS0744.9+3927,116.22,39.45677778,0.686,4367800000000000.0,18136343831260.742,high,,,
Abell 611,120.2367917,36.05669444,0.288,1338750000000000.0,14819958699123.355,high,,,
MACS1115.9+0129,168.966875,1.499055556,0.352,898700000000000.0,7592675501999.83,high,,,
Abell 1423,179.3219167,33.61038889,0.213,771550000000000.0,13316390055413.012,high,,,
MACS1206.2-0847,181.5511667,-8.800666667,0.44,0.0,0.0,zero_galaxies,,,
CLJ1226.9+3332,186.7432083,33.5465,0.89,700450000000000.0,2427901848208.7534,medium,,,
MACS1311.0-0310,197.7569583,-3.177638889,0.494,1308450000000000.0,7402596695497.924,high,,,
RXJ1347.5-1145,206.8774583,-11.75280556,0.451,0.0,0.0,zero_galaxies,,,
MACS1423.8+2404,215.949,24.07791667,0.545,1166750000000000.0,5964413213346.173,high,,,
RXJ1532.9+3021,233.2240833,30.34963889,0.345,2542050000000000.0,22043081880766.16,high,,,
MACS1720.3+3536,260.070625,35.60655556,0.391,2350900000000000.0,17400793925452.008,high,,,
Abell 2261,260.6135417,32.13294444,0.224,4846900000000000.0,77457861203218.28,high,,,
MACS1931.8-2635,292.9569167,-26.57611111,0.352,0.0,0.0,zero_galaxies,,,
RXJ2129.7+0005,322.4164167,0.088555556,0.234,2.09815e+16,313925953682349.0,high,,,
MS2137-2353,325.06325,-23.66130556,0.313,0.0,0.0,zero_galaxies,,,
Abell 1063S,342.1845417,-44.53011111,0.348,0.0,0.0,zero_galaxies,,,
MACS0416.1-2403,64.039125,-24.06775,0.42,0.0,0.0,zero_galaxies,,,
MACS0647.8+7015,101.9584583,70.24713889,0.584,0.0,0.0,zero_galaxies,,,
MACS0717.5+3745,109.381875,37.75513889,0.548,1323350000000000.0,6728173166010.746,high,,,
MACS1149.6+2223,177.3994167,22.39861111,0.544,713750000000000.0,3655361435644.159,medium,,,
MACS2129.4-0741,322.3585833,-7.691333333,0.57,2146450000000000.0,10501793359687.55,high,,,
SDSS J0004-0103,1.216666667,-1.054388889,0.514,8888050000000000.0,48224725586109.43,high,,,
SDSS J0108+0624,17.175,6.412083333,0.5478,1262500000000000.0,6421122310851.247,high,,,
SDSS J0146-0929,26.73333333,-9.497888889,0.4469,1057400000000000.0,6681969658497.24,high,,,
SDSS J0150+2725,27.50416667,27.42672222,0.30619,978400000000000.0,9950275247343.22,high,,,
SDSS J0333-0651,53.27083333,-6.856166667,0.5729,1272750000000000.0,6196884104572.469,high,,,
SDSS J0851+3331,132.9125,33.519675,0.3689,977550000000000.0,7778970549501.088,high,,,
SDSS J0915+3826,138.9125,38.44965833,0.3961,2113300000000000.0,15396292936029.297,high,,,
SDSS J0928+2031,142.025,20.52376389,0.192,789400000000000.0,16018027254107.465,high,,,
SDSS J0952+3434,148.1666667,34.57974722,0.357,775650000000000.0,6435272157356.591,high,,,
SDSS J0957+0509,149.4125,5.158833333,0.4482,1415000000000000.0,8912227295553.562,high,,,
SDSS J1002+2031,150.6125,20.51739167,0.319,1283900000000000.0,12350578240487.965,high,,,
SDSS J1038+4849,159.6791667,48.82186944,0.4308,843300000000000.0,5558946327967.588,high,,,
SDSS J1050+0017,162.6666667,0.285252778,0.5931,2126750000000000.0,10022091852169.24,high,,,
SDSS J1055+5547,163.7708333,55.80645278,0.466,1238650000000000.0,7467530547951.653,high,,,
SDSS J1110+6459,167.575,64.99639444,0.656,2121300000000000.0,9140381496136.86,high,,,
SDSS J1115+1645,168.7666667,16.76066667,0.537,682400000000000.0,3540431363626.46,medium,,,
SDSS J1138+2754,174.5375,27.90858333,0.451,813800000000000.0,5089539197154.281,high,,,
SDSS J1152+0930,178.1958333,9.504038889,0.517,570250000000000.0,3075441507459.8438,medium,,,
SDSS J1152+3313,178.0,33.22825556,0.3612,612500000000000.0,5006249749338.029,high,,,
SDSS J1156+1911,179.025,19.18685556,0.54547,1040550000000000.0,5314720630024.598,high,,,
SDSS J1207+5254,181.9,52.91616667,0.275,704550000000000.0,8325054977328.514,high,,,
SDSS J1209+2640,182.35,26.67958333,0.5606,1048950000000000.0,5215314331535.01,high,,,
SDSS J1329+2243,202.3916667,22.71673333,0.4427,907250000000000.0,5795294750751.906,high,,,
SDSS J1336-0331,204.0,-3.524619444,0.17637,811250000000000.0,18848704169231.49,high,,,
SDSS J1343+4155,205.8875,41.9178,0.418,919300000000000.0,6278295237739.644,high,,,
SDSS J1420+3955,215.1625,39.91804444,0.607,1120750000000000.0,5170078239846.726,high,,,
SDSS J1439+1208,219.7916667,12.14020833,0.42734,946200000000000.0,6296191809058.209,high,,,
SDSS J1456+5702,224.0041667,57.03905556,0.484,1810600000000000.0,10471362061172.717,high,,,
SDSS J1522+2535,230.7208333,25.59148889,0.602,806900000000000.0,3750512199924.123,medium,,,
SDSS J1527+0652,231.9375,6.875497222,0.392,1231450000000000.0,9086403193295.088,high,,,
SDSS J1531+3414,232.7958333,34.24025278,0.335,1885850000000000.0,16995624764887.94,high,,,
SDSS J1604+2244,241.0416667,22.73796944,0.286,3301950000000000.0,36911519368006.51,high,,,
SDSS J1621+0607,245.3833333,6.122180556,0.3429,4025850000000000.0,35188698809130.234,high,,,
SDSS J1632+3500,248.0416667,35.00837778,0.466,1572900000000000.0,9482645459874.182,high,,,
SDSS J1723+3411,260.9,34.199825,0.44227,3077900000000000.0,19682784868831.617,high,,,
SDSS J2111-0114,317.8291667,-1.239880556,0.6363,1.83992e+16,81384189718147.95,high,,,
SDSS J2243-0935,340.8458333,-9.589277778,0.447,1012350000000000.0,6395657957030.091,high,,,
DESJ0002-3507,0.59845,-35.12122,0.51,0.0,0.0,zero_galaxies,,,
DESJ0003-3348,0.81825,-33.8012,0.68,0.0,0.0,zero_galaxies,,,
DESJ0006-4429,1.68592,-44.49735,0.53,0.0,0.0,zero_galaxies,,,
DESJ0007-4434,1.87201,-44.57949,0.52,0.0,0.0,zero_galaxies,,,
DESJ0010-4315,2.62678,-43.25413,0.84,0.0,0.0,zero_galaxies,,,
DESJ0011-4614,2.97135,-46.23942,0.6,0.0,0.0,zero_galaxies,,,
DESJ0013+0040,3.29016,0.66767,0.75,1.064705e+16,41274333524165.445,high,,,
DESJ0013-0335,3.29224,-3.59597,0.53,865150000000000.0,4548537569633.245,medium,,,
DESJ0013-4239,3.38649,-42.65808,0.89,0.0,0.0,zero_galaxies,,,
